33;90;0;-33;-90;180;stop;forward;backward;left;right
0.212;0.069;0.446;0.208;0.058;0.043;0;1;0;0;0
0.212;0.069;0.446;0.208;0.058;0.043;0;1;0;0;0
0.212;0.069;0.447;0.208;0.059;0.044;0;1;0;0;0
0.212;0.070;0.447;0.208;0.059;0.044;0;1;0;0;0
0.212;0.070;0.447;0.208;0.059;0.044;0;1;0;0;0
0.216;0.070;0.433;0.208;0.059;0.059;0;1;0;0;0
0.216;0.070;0.433;0.208;0.059;0.059;0;1;0;0;0
0.216;0.069;0.433;0.209;0.059;0.059;0;1;0;0;0
0.216;0.069;0.433;0.209;0.059;0.059;0;1;0;0;0
0.240;0.069;0.409;0.209;0.062;0.093;0;1;0;0;0
0.240;0.069;0.409;0.209;0.062;0.093;0;1;0;0;0
0.240;0.069;0.409;0.212;0.062;0.093;0;1;0;0;0
0.351;0.069;0.378;0.212;0.064;0.129;0;1;0;0;0
0.351;0.069;0.378;0.212;0.064;0.129;0;1;0;0;0
0.351;0.068;0.378;0.214;0.064;0.129;0;1;0;0;0
0.481;0.068;0.349;0.214;0.065;0.166;0;1;0;0;0
0.481;0.068;0.349;0.214;0.065;0.166;0;1;0;0;0
0.481;0.067;0.349;0.219;0.065;0.166;0;1;0;0;0
0.454;0.067;0.317;0.219;0.066;0.203;0;1;0;0;0
0.454;0.067;0.317;0.219;0.066;0.203;0;1;0;0;0
0.454;0.066;0.317;0.226;0.066;0.203;0;1;0;0;0
0.416;0.066;0.288;0.226;0.067;0.240;0;1;0;0;0
0.416;0.066;0.288;0.226;0.067;0.240;0;1;0;0;0
0.416;0.065;0.288;0.228;0.067;0.240;0;1;0;0;0
0.379;0.065;0.260;0.228;0.069;0.271;1;0;0;0;0
0.379;0.065;0.260;0.228;0.069;0.271;1;0;0;0;0
0.379;0.065;0.260;0.228;0.069;0.271;1;0;0;0;0
0.379;0.064;0.260;0.234;0.069;0.271;1;0;0;0;0
0.330;0.064;0.227;0.236;0.070;0.304;0;0;0;1;0
0.331;0.064;0.231;0.236;0.069;0.304;0;0;0;1;0
0.331;0.064;0.231;0.236;0.069;0.304;0;0;0;1;0
0.331;0.064;0.231;0.236;0.069;0.304;0;0;0;1;0
0.343;0.065;0.231;0.251;0.070;0.304;0;0;0;1;0
0.343;0.065;0.231;0.251;0.070;0.311;0;0;0;1;0
0.343;0.065;0.231;0.251;0.070;0.311;1;0;0;0;0
0.343;0.065;0.231;0.251;0.070;0.311;1;0;0;0;0
0.343;0.076;0.231;0.285;0.070;0.311;1;0;0;0;0
0.391;0.076;0.239;0.285;0.066;0.323;1;0;0;0;0
0.395;0.081;0.239;0.286;0.065;0.323;1;0;0;0;0
0.398;0.081;0.238;0.284;0.067;0.324;0;1;0;0;0
0.398;0.081;0.238;0.284;0.067;0.324;0;1;0;0;0
0.398;0.080;0.238;0.285;0.067;0.324;0;1;0;0;0
0.397;0.080;0.239;0.285;0.065;0.329;0;1;0;0;0
0.397;0.080;0.239;0.285;0.065;0.329;0;1;0;0;0
0.397;0.080;0.239;0.285;0.065;0.329;0;1;0;0;0
0.397;0.076;0.221;0.268;0.071;0.329;0;1;0;0;0
0.368;0.076;0.221;0.268;0.071;0.357;1;0;0;0;0
0.368;0.076;0.221;0.268;0.071;0.357;1;0;0;0;0
0.368;0.076;0.221;0.268;0.071;0.357;1;0;0;0;0
0.368;0.068;0.190;0.233;0.080;0.357;1;0;0;0;0
0.322;0.068;0.190;0.233;0.080;0.357;1;0;0;0;0
0.322;0.068;0.190;0.233;0.080;0.383;1;0;0;0;0
0.310;0.063;0.183;0.218;0.083;0.385;0;0;0;1;0
0.310;0.063;0.183;0.218;0.083;0.385;0;0;0;1;0
0.310;0.063;0.183;0.217;0.082;0.385;0;0;0;1;0
0.314;0.063;0.183;0.217;0.082;0.385;0;0;0;1;0
0.314;0.063;0.183;0.217;0.082;0.384;0;0;0;1;0
0.314;0.063;0.183;0.217;0.082;0.384;0;0;0;1;0
0.314;0.063;0.183;0.217;0.082;0.384;0;0;0;1;0
0.354;0.069;0.188;0.210;0.083;0.384;0;0;0;1;0
0.354;0.069;0.188;0.210;0.083;0.384;0;0;0;1;0
0.354;0.069;0.188;0.210;0.083;0.315;1;0;0;0;0
0.354;0.085;0.201;0.197;0.089;0.315;1;0;0;0;0
0.437;0.085;0.201;0.197;0.089;0.315;1;0;0;0;0
0.437;0.085;0.201;0.197;0.089;0.200;1;0;0;0;0
0.437;0.085;0.201;0.197;0.089;0.200;1;0;0;0;0
0.454;0.092;0.209;0.194;0.092;0.196;0;1;0;0;0
0.454;0.092;0.209;0.194;0.092;0.196;0;1;0;0;0
0.454;0.092;0.209;0.194;0.092;0.195;1;0;0;0;0
0.454;0.092;0.209;0.194;0.092;0.195;1;0;0;0;0
0.449;0.092;0.205;0.191;0.093;0.204;1;0;0;0;0
0.449;0.092;0.205;0.191;0.093;0.204;1;0;0;0;0
0.442;0.087;0.198;0.185;0.099;0.206;0;0;0;1;0
0.442;0.087;0.198;0.185;0.099;0.206;0;0;0;1;0
0.442;0.087;0.198;0.185;0.099;0.207;0;0;0;1;0
0.448;0.087;0.199;0.185;0.100;0.207;1;0;0;0;0
0.448;0.087;0.199;0.185;0.100;0.207;1;0;0;0;0
0.448;0.087;0.199;0.185;0.100;0.174;1;0;0;0;0
0.457;0.098;0.215;0.185;0.109;0.174;0;0;0;1;0
0.457;0.098;0.215;0.185;0.109;0.174;0;0;0;1;0
0.457;0.098;0.215;0.185;0.109;0.149;0;0;0;1;0
0.459;0.101;0.218;0.185;0.110;0.149;0;0;0;1;0
0.459;0.101;0.218;0.185;0.110;0.149;0;0;0;1;0
0.459;0.101;0.218;0.185;0.110;0.134;1;0;0;0;0
0.459;0.101;0.218;0.185;0.110;0.134;1;0;0;0;0
0.449;0.120;0.243;0.198;0.118;0.108;1;0;0;0;0
0.449;0.120;0.243;0.198;0.118;0.108;1;0;0;0;0
0.449;0.120;0.243;0.198;0.118;0.108;1;0;0;0;0
0.451;0.122;0.246;0.198;0.118;0.107;0;1;0;0;0
0.448;0.122;0.246;0.198;0.118;0.107;0;1;0;0;0
0.448;0.122;0.246;0.198;0.118;0.107;0;1;0;0;0
0.448;0.122;0.246;0.198;0.118;0.107;0;1;0;0;0
0.448;0.119;0.246;0.195;0.120;0.107;0;1;0;0;0
0.448;0.119;0.246;0.195;0.120;0.107;0;1;0;0;0
0.448;0.119;0.246;0.195;0.120;0.125;0;1;0;0;0
0.448;0.098;0.223;0.175;0.140;0.125;0;1;0;0;0
0.433;0.098;0.223;0.175;0.140;0.125;1;0;0;0;0
0.433;0.098;0.223;0.175;0.140;0.125;1;0;0;0;0
0.433;0.098;0.223;0.175;0.140;0.162;1;0;0;0;0
0.405;0.060;0.182;0.139;0.174;0.185;0;1;0;0;0
0.405;0.060;0.182;0.139;0.174;0.185;0;1;0;0;0
0.405;0.060;0.182;0.139;0.174;0.185;0;1;0;0;0
0.405;0.060;0.186;0.139;0.174;0.184;0;1;0;0;0
0.403;0.059;0.186;0.137;0.178;0.184;1;0;0;0;0
0.403;0.059;0.186;0.137;0.178;0.184;1;0;0;0;0
0.403;0.059;0.186;0.137;0.178;0.184;1;0;0;0;0
0.385;0.041;0.166;0.118;0.199;0.200;1;0;0;0;0
0.385;0.041;0.166;0.118;0.199;0.200;1;0;0;0;0
0.385;0.041;0.166;0.118;0.199;0.200;1;0;0;0;0
0.379;0.041;0.157;0.112;0.207;0.216;0;0;0;1;0
0.379;0.041;0.157;0.112;0.207;0.215;0;0;0;1;0
0.380;0.040;0.157;0.111;0.208;0.215;0;0;0;1;0
0.380;0.040;0.157;0.111;0.208;0.215;0;0;0;1;0
0.380;0.040;0.157;0.111;0.208;0.215;0;0;0;1;0
0.380;0.040;0.170;0.111;0.208;0.195;0;0;0;1;0
0.380;0.046;0.170;0.117;0.222;0.195;0;0;0;1;0
0.369;0.046;0.170;0.117;0.222;0.195;0;0;0;1;0
0.369;0.046;0.170;0.117;0.222;0.195;0;0;0;1;0
0.369;0.046;0.170;0.117;0.222;0.195;0;0;0;1;0
0.369;0.046;0.200;0.117;0.219;0.149;0;0;0;1;0
0.352;0.077;0.200;0.126;0.219;0.149;1;0;0;0;0
0.352;0.077;0.200;0.126;0.219;0.149;1;0;0;0;0
0.352;0.077;0.244;0.126;0.219;0.121;1;0;0;0;0
0.347;0.100;0.244;0.131;0.199;0.121;1;0;0;0;0
0.347;0.100;0.244;0.131;0.199;0.121;1;0;0;0;0
0.347;0.100;0.244;0.131;0.199;0.117;1;0;0;0;0
0.346;0.102;0.252;0.131;0.195;0.116;0;1;0;0;0
0.346;0.102;0.252;0.131;0.195;0.116;0;1;0;0;0
0.346;0.102;0.252;0.131;0.195;0.116;0;1;0;0;0
0.346;0.102;0.252;0.131;0.195;0.117;0;1;0;0;0
0.344;0.098;0.252;0.130;0.195;0.117;0;1;0;0;0
0.344;0.098;0.252;0.130;0.195;0.117;0;1;0;0;0
0.344;0.098;0.252;0.130;0.195;0.117;0;1;0;0;0
0.344;0.098;0.234;0.130;0.178;0.139;1;0;0;0;0
0.321;0.056;0.234;0.111;0.178;0.139;1;0;0;0;0
0.321;0.056;0.234;0.111;0.178;0.139;1;0;0;0;0
0.298;0.079;0.214;0.095;0.158;0.168;1;0;0;0;0
0.298;0.079;0.214;0.095;0.158;0.168;1;0;0;0;0
0.300;0.084;0.210;0.094;0.157;0.174;0;0;0;1;0
0.300;0.084;0.205;0.094;0.156;0.175;0;0;0;1;0
0.297;0.079;0.205;0.096;0.156;0.175;0;0;0;1;0
0.297;0.079;0.205;0.096;0.156;0.175;0;0;0;1;0
0.297;0.079;0.205;0.096;0.156;0.175;0;0;0;1;0
0.297;0.079;0.233;0.096;0.156;0.161;0;0;0;1;0
0.297;0.053;0.233;0.106;0.143;0.161;0;0;0;1;0
0.297;0.053;0.233;0.106;0.143;0.161;0;0;0;1;0
0.297;0.053;0.233;0.106;0.143;0.161;0;0;0;1;0
0.297;0.053;0.268;0.106;0.143;0.144;0;0;0;1;0
0.297;0.053;0.268;0.106;0.127;0.144;0;0;0;1;0
0.294;0.062;0.268;0.120;0.127;0.144;0;0;0;1;0
0.294;0.062;0.268;0.120;0.127;0.144;0;0;0;1;0
0.294;0.062;0.267;0.120;0.115;0.139;0;0;0;1;0
0.294;0.085;0.267;0.131;0.115;0.139;0;0;0;1;0
0.294;0.085;0.267;0.131;0.115;0.139;0;0;0;1;0
0.294;0.085;0.256;0.131;0.115;0.137;0;0;0;1;0
0.294;0.085;0.256;0.131;0.104;0.137;0;0;0;1;0
0.297;0.131;0.256;0.149;0.104;0.137;0;0;0;1;0
0.297;0.131;0.256;0.149;0.104;0.137;0;0;0;1;0
0.297;0.131;0.256;0.149;0.104;0.137;0;0;0;1;0
0.297;0.131;0.245;0.149;0.104;0.135;0;0;0;1;0
0.297;0.131;0.245;0.149;0.094;0.135;0;0;0;1;0
0.302;0.208;0.245;0.169;0.094;0.135;0;0;0;1;0
0.302;0.208;0.234;0.169;0.094;0.135;0;0;0;1;0
0.307;0.344;0.234;0.200;0.087;0.136;0;0;0;1;0
0.307;0.344;0.234;0.200;0.087;0.136;0;0;0;1;0
0.307;0.344;0.234;0.200;0.087;0.136;0;0;0;1;0
0.307;0.344;0.227;0.200;0.087;0.139;1;0;0;0;0
0.307;0.344;0.227;0.200;0.079;0.139;1;0;0;0;0
0.320;0.512;0.226;0.247;0.079;0.145;1;0;0;0;0
0.328;0.557;0.226;0.261;0.078;0.145;1;0;0;0;0
0.325;0.556;0.225;0.262;0.077;0.144;0;1;0;0;0
0.325;0.556;0.225;0.262;0.077;0.144;0;1;0;0;0
0.325;0.556;0.227;0.262;0.077;0.144;0;1;0;0;0
0.323;0.540;0.227;0.260;0.077;0.145;0;1;0;0;0
0.323;0.540;0.227;0.260;0.077;0.145;0;1;0;0;0
0.323;0.540;0.215;0.260;0.077;0.145;0;1;0;0;0
0.323;0.540;0.215;0.260;0.077;0.145;0;1;0;0;0
0.294;1.998;0.215;0.248;0.079;0.166;0;1;0;0;0
0.294;1.998;0.215;0.248;0.079;0.166;0;1;0;0;0
0.294;1.998;0.189;0.248;0.079;0.166;0;1;0;0;0
0.255;0.172;0.189;0.227;0.079;0.199;1;0;0;0;0
0.255;0.172;0.189;0.227;0.079;0.199;1;0;0;0;0
0.216;0.172;0.160;0.227;0.082;0.236;1;0;0;0;0
0.216;0.448;0.160;0.202;0.082;0.236;1;0;0;0;0
0.216;0.448;0.160;0.202;0.082;0.236;1;0;0;0;0
0.208;0.477;0.140;0.197;0.080;0.247;0;0;0;1;0
0.208;0.477;0.140;0.197;0.080;0.247;0;0;0;1;0
0.208;0.477;0.140;0.197;0.080;0.247;0;0;0;1;0
0.208;0.477;0.140;0.197;0.080;0.247;0;0;0;1;0
0.213;0.404;0.140;0.193;0.081;0.247;0;0;0;1;0
0.213;0.404;0.140;0.193;0.081;0.247;0;0;0;1;0
0.213;0.404;0.140;0.193;0.081;0.247;0;0;0;1;0
0.213;0.404;0.140;0.193;0.081;0.247;0;0;0;1;0
0.213;0.404;0.140;0.193;0.083;0.252;0;0;0;1;0
0.238;0.177;0.140;0.178;0.083;0.252;0;0;0;1;0
0.238;0.177;0.146;0.178;0.083;0.252;0;0;0;1;0
0.270;0.177;0.146;0.178;0.083;0.264;0;0;0;1;0
0.270;0.094;0.146;0.167;0.083;0.264;0;0;0;1;0
0.270;0.094;0.151;0.167;0.083;0.264;0;0;0;1;0
0.270;0.094;0.151;0.167;0.083;0.264;1;0;0;0;0
0.270;0.094;0.151;0.167;0.083;0.264;1;0;0;0;0
0.320;0.094;0.151;0.167;0.087;0.269;1;0;0;0;0
0.320;0.108;0.158;0.156;0.087;0.269;1;0;0;0;0
0.320;0.108;0.158;0.156;0.087;0.269;1;0;0;0;0
0.343;0.108;0.158;0.156;0.088;0.263;1;0;0;0;0
0.345;0.115;0.159;0.155;0.088;0.264;0;1;0;0;0
0.345;0.115;0.159;0.155;0.088;0.264;0;1;0;0;0
0.345;0.115;0.159;0.155;0.088;0.264;0;1;0;0;0
0.342;0.111;0.159;0.155;0.087;0.263;0;1;0;0;0
0.342;0.111;0.154;0.152;0.087;0.263;0;1;0;0;0
0.342;0.111;0.154;0.152;0.087;0.263;0;1;0;0;0
0.342;0.111;0.154;0.152;0.087;0.263;0;1;0;0;0
0.305;0.111;0.154;0.152;0.096;0.283;0;1;0;0;0
0.305;0.113;0.154;0.123;0.096;0.283;0;1;0;0;0
0.305;0.113;0.129;0.123;0.096;0.283;0;1;0;0;0
0.305;0.113;0.129;0.123;0.096;0.283;1;0;0;0;0
0.305;0.113;0.129;0.123;0.096;0.283;1;0;0;0;0
0.245;0.113;0.129;0.123;0.110;0.315;1;0;0;0;0
0.245;0.187;0.129;0.089;0.110;0.315;1;0;0;0;0
