+33;+90;0;-33;-90;180;stop;forward;backward;left;right;
0.469;0.065;0.491;0.213;0.074;0.030;0;1;0;0;0;
0.469;0.067;0.504;0.212;0.072;0.031;0;1;0;0;0;
0.469;0.064;0.480;0.209;0.071;0.050;0;1;0;0;0;
0.469;0.065;0.478;0.211;0.072;0.064;0;1;0;0;0;
0.469;0.070;0.451;0.213;0.069;0.089;0;1;0;0;0;
0.469;0.068;0.427;0.213;0.069;0.114;0;1;0;0;0;
0.469;0.065;0.394;0.212;0.073;0.137;0;1;0;0;0;
0.469;0.065;0.386;0.208;0.072;0.158;0;1;0;0;0;
0.469;0.066;0.355;0.217;0.071;0.184;0;1;0;0;0;
0.469;0.065;0.336;0.219;0.074;0.209;0;1;0;0;0;
0.469;0.061;0.329;0.227;0.072;0.225;0;1;0;0;0;
0.469;0.062;0.292;0.227;0.071;0.251;0;1;0;0;0;
0.469;0.064;0.271;0.228;0.074;0.278;0;1;0;0;0;
0.469;0.061;0.192;0.213;0.072;0.341;0;0;0;1;0;
0.469;0.063;0.190;0.214;0.072;0.344;0;0;0;1;0;
0.469;0.058;0.191;0.224;0.073;0.346;0;0;0;1;0;
0.469;0.067;0.194;0.214;0.078;0.354;0;0;0;1;0;
0.469;0.071;0.201;0.202;0.076;0.325;0;0;0;1;0;
0.469;0.126;0.256;0.191;0.085;0.119;0;1;0;0;0;
0.469;0.129;0.248;0.191;0.084;0.124;0;1;0;0;0;
0.469;0.123;0.243;0.184;0.095;0.143;0;1;0;0;0;
0.469;0.109;0.239;0.163;0.104;0.160;0;1;0;0;0;
0.469;0.054;0.157;0.105;0.153;0.221;0;0;0;1;0;
0.469;0.056;0.155;0.107;0.151;0.215;0;0;0;1;0;
0.469;0.061;0.155;0.106;0.158;0.193;0;0;0;1;0;
0.469;0.068;0.166;0.110;0.186;0.153;0;0;0;1;0;
0.469;0.083;0.187;0.108;0.198;0.124;0;0;0;1;0;
0.469;0.102;0.221;0.120;0.204;0.101;0;0;0;1;0;
0.469;0.141;0.245;0.125;0.193;0.079;0;0;0;1;0;
0.469;0.409;0.371;0.175;0.144;0.049;0;1;0;0;0;
0.469;0.419;0.372;0.171;0.142;0.048;0;1;0;0;0;
0.469;0.402;0.361;0.167;0.144;0.063;0;1;0;0;0;
0.469;0.342;0.368;0.161;0.136;0.088;0;1;0;0;0;
0.469;0.061;0.284;0.138;0.111;0.147;0;0;0;1;0;
0.469;0.062;0.285;0.133;0.111;0.142;0;0;0;1;0;
0.469;0.081;0.274;0.153;0.112;0.139;0;0;0;1;0;
0.469;0.211;0.271;0.182;0.099;0.135;0;0;0;1;0;
0.469;0.525;0.250;0.284;0.094;0.142;0;1;0;0;0;
0.469;0.527;0.251;0.276;0.095;0.146;0;1;0;0;0;
0.469;0.519;0.247;0.271;0.096;0.160;0;1;0;0;0;
0.469;0.479;0.237;0.259;0.098;0.177;0;1;0;0;0;
0.469;0.015;0.207;0.238;0.100;0.200;0;1;0;0;0;
0.469;0.461;0.118;0.151;0.108;0.273;0;0;0;1;0;
0.469;0.456;0.120;0.149;0.104;0.274;0;0;0;1;0;
0.469;0.442;0.121;0.141;0.107;0.280;0;0;0;1;0;
0.469;0.273;0.125;0.135;0.111;0.289;0;0;0;1;0;
0.469;0.158;0.137;0.126;0.112;0.298;0;0;0;1;0;
0.469;0.075;0.163;0.120;0.125;0.215;0;1;0;0;0;
0.469;0.117;0.137;0.098;0.141;0.251;0;0;0;1;0;
0.469;0.117;0.132;0.093;0.143;0.241;0;0;0;1;0;
0.469;0.108;0.142;0.094;0.156;0.199;0;0;0;1;0;
0.469;0.083;0.176;0.097;0.188;0.111;0;0;0;1;0;
0.469;0.121;0.196;0.112;0.195;0.087;0;0;0;1;0;
0.469;0.402;0.484;0.149;0.143;0.042;0;1;0;0;0;
0.469;0.399;0.491;0.152;0.141;0.044;0;1;0;0;0;
0.469;0.405;0.492;0.145;0.137;0.058;0;1;0;0;0;
0.469;0.407;0.480;0.135;0.132;0.083;0;1;0;0;0;
0.469;0.094;0.425;0.090;0.094;0.157;0;0;0;1;0;
0.469;0.091;0.426;0.095;0.095;0.156;0;0;0;1;0;
0.469;0.091;0.419;0.101;0.088;0.148;0;0;0;1;0;
0.469;0.410;0.380;0.317;0.075;0.131;0;1;0;0;0;
0.469;0.357;0.377;0.371;0.075;0.146;0;1;0;0;0;
0.469;0.097;0.339;0.403;0.073;0.174;0;1;0;0;0;
0.469;0.099;0.349;0.404;0.073;0.174;0;1;0;0;0;
0.469;0.095;0.346;0.396;0.071;0.191;0;1;0;0;0;
0.469;0.098;0.311;0.378;0.071;0.205;0;1;0;0;0;
0.469;0.098;0.304;0.370;0.069;0.233;0;1;0;0;0;
0.469;0.097;0.283;0.322;0.070;0.253;0;1;0;0;0;
0.469;0.095;0.261;0.316;0.068;0.285;0;1;0;0;0;
0.469;0.100;0.245;0.284;0.069;0.308;0;1;0;0;0;
0.469;0.099;0.210;0.258;0.062;0.323;0;1;0;0;0;
0.469;0.099;0.137;0.178;0.364;0.394;0;0;0;0;1;
0.469;0.100;0.136;0.175;0.358;0.393;0;0;0;0;1;
0.469;0.099;0.135;0.184;0.110;0.398;0;0;0;0;1;
0.469;0.094;0.139;0.211;0.071;0.410;0;0;0;0;1;
0.469;0.094;0.147;0.254;0.091;0.436;0;0;0;0;1;
