+33;+90;0;-33;-90;180;stop;forward;backward;left;right
0.223;0.096;0.541;0.247;0.076;0.071;0;1;0;0;0
0.223;0.096;0.541;0.247;0.076;0.071;0;1;0;0;0
0.223;0.096;0.542;0.247;0.077;0.072;0;1;0;0;0
0.223;0.097;0.542;0.247;0.077;0.072;0;1;0;0;0
0.223;0.097;0.542;0.247;0.077;0.072;0;1;0;0;0
0.227;0.097;0.526;0.247;0.077;0.087;0;1;0;0;0
0.227;0.097;0.526;0.247;0.077;0.087;0;1;0;0;0
0.227;0.096;0.526;0.248;0.077;0.087;0;1;0;0;0
0.227;0.096;0.526;0.248;0.077;0.087;0;1;0;0;0
0.249;0.096;0.498;0.248;0.080;0.120;0;1;0;0;0
0.249;0.096;0.498;0.248;0.080;0.120;0;1;0;0;0
0.249;0.096;0.498;0.251;0.080;0.120;0;1;0;0;0
0.353;0.096;0.462;0.251;0.082;0.156;0;1;0;0;0
0.353;0.096;0.462;0.251;0.082;0.156;0;1;0;0;0
0.353;0.095;0.462;0.253;0.082;0.156;0;1;0;0;0
0.474;0.095;0.429;0.253;0.083;0.192;0;1;0;0;0
0.474;0.095;0.429;0.253;0.083;0.192;0;1;0;0;0
0.474;0.094;0.429;0.258;0.083;0.192;0;1;0;0;0
0.449;0.094;0.392;0.258;0.084;0.228;0;1;0;0;0
0.449;0.094;0.392;0.258;0.084;0.228;0;1;0;0;0
0.449;0.093;0.392;0.265;0.084;0.228;0;1;0;0;0
0.414;0.093;0.358;0.265;0.085;0.264;0;1;0;0;0
0.414;0.093;0.358;0.265;0.085;0.264;0;1;0;0;0
0.414;0.092;0.358;0.267;0.085;0.264;0;1;0;0;0
0.379;0.092;0.326;0.267;0.087;0.295;1;0;0;0;0
0.379;0.092;0.326;0.267;0.087;0.295;1;0;0;0;0
0.379;0.092;0.326;0.267;0.087;0.295;1;0;0;0;0
0.379;0.091;0.326;0.273;0.087;0.295;1;0;0;0;0
0.333;0.091;0.288;0.275;0.088;0.327;0;0;0;1;0
0.334;0.091;0.292;0.275;0.087;0.327;0;0;0;1;0
0.334;0.091;0.292;0.275;0.087;0.327;0;0;0;1;0
0.334;0.091;0.292;0.275;0.087;0.327;0;0;0;1;0
0.345;0.092;0.292;0.289;0.088;0.327;0;0;0;1;0
0.345;0.092;0.292;0.289;0.088;0.334;0;0;0;1;0
0.345;0.092;0.292;0.289;0.088;0.334;1;0;0;0;0
0.345;0.092;0.292;0.289;0.088;0.334;1;0;0;0;0
0.345;0.102;0.292;0.322;0.088;0.334;1;0;0;0;0
0.390;0.102;0.301;0.322;0.084;0.345;1;0;0;0;0
0.394;0.107;0.301;0.323;0.083;0.345;1;0;0;0;0
0.397;0.107;0.300;0.321;0.085;0.346;0;1;0;0;0
0.397;0.107;0.300;0.321;0.085;0.346;0;1;0;0;0
0.397;0.106;0.300;0.322;0.085;0.346;0;1;0;0;0
0.396;0.106;0.302;0.322;0.083;0.351;0;1;0;0;0
0.396;0.106;0.302;0.322;0.083;0.351;0;1;0;0;0
0.396;0.106;0.302;0.322;0.083;0.351;0;1;0;0;0
0.396;0.102;0.281;0.306;0.089;0.351;0;1;0;0;0
0.369;0.102;0.281;0.306;0.089;0.379;1;0;0;0;0
0.369;0.102;0.281;0.306;0.089;0.379;1;0;0;0;0
0.369;0.102;0.281;0.306;0.089;0.379;1;0;0;0;0
0.369;0.095;0.245;0.272;0.098;0.379;1;0;0;0;0
0.326;0.095;0.245;0.272;0.098;0.379;1;0;0;0;0
0.326;0.095;0.245;0.272;0.098;0.404;1;0;0;0;0
0.315;0.090;0.237;0.257;0.101;0.406;0;0;0;1;0
0.315;0.090;0.237;0.257;0.101;0.406;0;0;0;1;0
0.315;0.090;0.237;0.256;0.100;0.406;0;0;0;1;0
0.318;0.090;0.237;0.256;0.100;0.406;0;0;0;1;0
0.318;0.090;0.237;0.256;0.100;0.405;0;0;0;1;0
0.318;0.090;0.237;0.256;0.100;0.405;0;0;0;1;0
0.318;0.090;0.237;0.256;0.100;0.405;0;0;0;1;0
0.356;0.096;0.242;0.249;0.101;0.405;0;0;0;1;0
0.356;0.096;0.242;0.249;0.101;0.405;0;0;0;1;0
0.356;0.096;0.242;0.249;0.101;0.338;1;0;0;0;0
0.356;0.111;0.258;0.237;0.108;0.338;1;0;0;0;0
0.433;0.111;0.258;0.237;0.108;0.338;1;0;0;0;0
0.433;0.111;0.258;0.237;0.108;0.225;1;0;0;0;0
0.433;0.111;0.258;0.237;0.108;0.225;1;0;0;0;0
0.449;0.118;0.267;0.234;0.111;0.221;0;1;0;0;0
0.449;0.118;0.267;0.234;0.111;0.221;0;1;0;0;0
0.449;0.118;0.267;0.234;0.111;0.220;1;0;0;0;0
0.449;0.118;0.267;0.234;0.111;0.220;1;0;0;0;0
0.444;0.118;0.262;0.231;0.112;0.229;1;0;0;0;0
0.444;0.118;0.262;0.231;0.112;0.229;1;0;0;0;0
0.438;0.113;0.254;0.225;0.118;0.231;0;0;0;1;0
0.438;0.113;0.254;0.225;0.118;0.231;0;0;0;1;0
0.438;0.113;0.254;0.225;0.118;0.232;0;0;0;1;0
0.443;0.113;0.255;0.225;0.119;0.232;1;0;0;0;0
0.443;0.113;0.255;0.225;0.119;0.232;1;0;0;0;0
0.443;0.113;0.255;0.225;0.119;0.200;1;0;0;0;0
0.452;0.124;0.274;0.225;0.128;0.200;0;0;0;1;0
0.452;0.124;0.274;0.225;0.128;0.200;0;0;0;1;0
0.452;0.124;0.274;0.225;0.128;0.175;0;0;0;1;0
0.454;0.127;0.277;0.225;0.129;0.175;0;0;0;1;0
0.454;0.127;0.277;0.225;0.129;0.175;0;0;0;1;0
0.454;0.127;0.277;0.225;0.129;0.160;1;0;0;0;0
0.454;0.127;0.277;0.225;0.129;0.160;1;0;0;0;0
0.444;0.146;0.306;0.238;0.137;0.135;1;0;0;0;0
0.444;0.146;0.306;0.238;0.137;0.135;1;0;0;0;0
0.444;0.146;0.306;0.238;0.137;0.135;1;0;0;0;0
0.446;0.148;0.309;0.238;0.137;0.134;0;1;0;0;0
0.443;0.148;0.309;0.238;0.137;0.134;0;1;0;0;0
0.443;0.148;0.309;0.238;0.137;0.134;0;1;0;0;0
0.443;0.148;0.309;0.238;0.137;0.134;0;1;0;0;0
0.443;0.145;0.309;0.235;0.139;0.134;0;1;0;0;0
0.443;0.145;0.309;0.235;0.139;0.134;0;1;0;0;0
0.443;0.145;0.309;0.235;0.139;0.152;0;1;0;0;0
0.443;0.124;0.283;0.215;0.159;0.152;0;1;0;0;0
0.429;0.124;0.283;0.215;0.159;0.152;1;0;0;0;0
0.429;0.124;0.283;0.215;0.159;0.152;1;0;0;0;0
0.429;0.124;0.283;0.215;0.159;0.188;1;0;0;0;0
0.403;0.087;0.236;0.180;0.193;0.210;0;1;0;0;0
0.403;0.087;0.236;0.180;0.193;0.210;0;1;0;0;0
0.403;0.087;0.236;0.180;0.193;0.210;0;1;0;0;0
0.403;0.087;0.240;0.180;0.193;0.209;0;1;0;0;0
0.401;0.086;0.240;0.178;0.197;0.209;1;0;0;0;0
0.401;0.086;0.240;0.178;0.197;0.209;1;0;0;0;0
0.401;0.086;0.240;0.178;0.197;0.209;1;0;0;0;0
0.385;0.068;0.217;0.160;0.219;0.225;1;0;0;0;0
0.385;0.068;0.217;0.160;0.219;0.225;1;0;0;0;0
0.385;0.068;0.217;0.160;0.219;0.225;1;0;0;0;0
0.379;0.068;0.207;0.154;0.227;0.241;0;0;0;1;0
0.379;0.068;0.207;0.154;0.227;0.240;0;0;0;1;0
0.380;0.067;0.207;0.153;0.228;0.240;0;0;0;1;0
0.380;0.067;0.207;0.153;0.228;0.240;0;0;0;1;0
0.380;0.067;0.207;0.153;0.228;0.240;0;0;0;1;0
0.380;0.067;0.221;0.153;0.228;0.220;0;0;0;1;0
0.380;0.073;0.221;0.159;0.242;0.220;0;0;0;1;0
0.370;0.073;0.221;0.159;0.242;0.220;0;0;0;1;0
0.370;0.073;0.221;0.159;0.242;0.220;0;0;0;1;0
0.370;0.073;0.221;0.159;0.242;0.220;0;0;0;1;0
0.370;0.073;0.256;0.159;0.239;0.175;0;0;0;1;0
0.354;0.103;0.256;0.168;0.239;0.175;1;0;0;0;0
0.354;0.103;0.256;0.168;0.239;0.175;1;0;0;0;0
