+33;+90;0;-33;-90;180;stop;forward;backward;left;right;
0.188944;0.089431;0.691813;0.186691;0.0805809;0.0409041;0;1;0;0;0;
0.189288;0.0753057;0.665431;0.179524;0.0904538;0.0649247;0;1;0;0;0;
0.763439;0.0899177;0.628935;0.179399;0.0773318;0.0986331;0;1;0;0;0;
0.729563;0.0738169;0.605687;0.194689;0.0852247;0.117323;0;1;0;0;0;
0.695856;0.0779551;0.563985;0.19256;0.0873227;0.147509;0;1;0;0;0;
0.666693;0.0750716;0.547082;0.17929;0.086216;0.189368;0;1;0;0;0;
0.626748;0.0768587;0.511955;0.183419;0.0860005;0.216247;0;1;0;0;0;
0.601427;0.0734259;0.478463;0.180625;0.0842548;0.249975;0;1;0;0;0;
0.567539;0.0749605;0.451234;0.176472;0.0748407;0.272075;0;1;0;0;0;
0.528082;0.0772102;0.433233;0.184331;0.0902454;0.291076;0;1;0;0;0;
0.490892;0.0780073;0.393458;0.192239;0.0899889;0.330986;0;0;0;1;0;
0.545608;0.0928385;0.407771;0.246643;0.0931151;0.338523;0;1;0;0;0;
0.504367;0.0733957;0.378;0.264119;0.0945804;0.362834;0;1;0;0;0;
0.472863;1.2571;0.338657;0.257667;0.0930168;0.399524;0;1;0;0;0;
0.426249;0.405524;0.306857;0.264891;0.0860088;0.427829;0;1;0;0;0;
0.396747;0.407143;0.27692;0.271701;0.103073;0.444828;0;1;0;0;0;
0.361482;0.406779;0.257503;0.278847;0.102046;0.471802;0;1;0;0;0;
0.322716;0.404289;0.225955;0.267485;0.102375;0.507881;0;1;0;0;0;
0.287681;0.387093;0.20223;0.222393;0.11042;0.53262;0;0;0;1;0;
0.319251;0.408149;0.198372;0.208211;0.0995988;0.550443;0;0;0;1;0;
0.362653;0.422939;0.214263;0.216455;0.11495;0.455923;0;0;0;1;0;
0.43097;1.3587;0.219531;0.193283;0.123778;0.310101;0;0;0;1;0;
0.405397;1.24897;0.242931;0.189345;0.129075;0.221734;0;1;0;0;0;
0.386741;1.29847;0.218214;0.177556;0.14931;0.255255;0;1;0;0;0;
0.369885;1.33758;0.189898;0.157096;0.171091;0.282443;0;1;0;0;0;
0.362935;0.425949;0.163851;0.124513;0.188416;0.320788;0;1;0;0;0;
0.331391;0.3996;0.123377;0.1035;0.201613;0.336157;0;1;0;0;0;
