+33;+90;0;-33;-90;180;+60;-60;+20;-20;stop;forward;backward;left;right;
0.163438;0.0809161;0.666073;0.171231;0.0533913;0.0414868;0.0820708;0.107769;0.715384;0.491889;0;1;0;0;0;
0.168465;0.0926508;0.636556;0.166727;0.077049;0.0488276;0.121779;0.0785898;0.705429;0.458697;0;1;0;0;0;
0.755901;0.0883734;0.604809;0.161116;0.0881654;0.10268;0.0918991;0.120162;0.634601;0.495211;0;1;0;0;0;
0.761953;0.106154;0.59657;0.185351;0.0683174;0.134232;0.0926428;0.071762;0.657151;0.441446;0;1;0;0;0;
0.676384;0.0619786;0.599228;0.182365;0.0688259;0.127478;0.0884724;0.0910776;0.571914;0.460077;0;1;0;0;0;
0.675634;0.0980414;0.558709;0.213729;0.101914;0.161827;0.111448;0.09611;0.582773;0.48096;0;1;0;0;0;
0.624779;0.0549927;0.533836;0.201889;0.053632;0.195751;0.070538;0.11445;0.536029;0.464136;0;1;0;0;0;
0.588163;0.0689133;0.476804;0.164395;0.0805847;0.25742;0.0856137;0.0903828;0.534724;0.445789;0;1;0;0;0;
0.586101;0.0997768;0.444344;0.198178;0.0892353;0.247;0.455494;0.0956779;0.489212;0.440956;0;1;0;0;0;
0.553198;0.0861559;0.448876;0.191026;0.110629;0.289912;0.465401;0.0712401;0.424765;0.479578;0;1;0;0;0;
0.504314;0.0779993;0.373929;0.200866;0.0737363;0.352014;0.464047;0.121669;0.435227;0.437715;0;1;0;0;0;
0.435657;0.0703765;0.348497;0.165034;0.102398;0.365119;0.488418;0.0825421;0.370116;0.373621;0;0;0;1;0;
0.502685;0.0674466;0.369315;0.247193;0.0605262;0.388078;0.461035;0.0863954;0.430094;0.368359;0;0;0;1;0;
0.553834;0.0993791;0.409023;0.345201;0.108744;0.384268;0.425463;0.152349;0.437558;0.39424;0;1;0;0;0;
0.549041;0.053814;0.338638;0.360225;0.100001;0.398406;0.439935;0.1451;0.37381;0.343059;0;1;0;0;0;
0.454851;1.28583;0.329432;0.327115;0.078413;0.456332;0.403012;0.168478;0.346809;0.307601;0;1;0;0;0;
0.467009;1.25233;0.316069;0.298102;0.113897;0.44701;0.401354;0.134138;0.343533;0.265894;0;1;0;0;0;
0.40572;0.379404;0.254894;0.267236;0.116773;0.460559;0.424031;0.173584;0.3326;0.267552;0;1;0;0;0;
0.380338;0.371705;0.226272;0.276165;0.106206;0.542371;0.364953;0.180551;0.300402;0.210438;0;1;0;0;0;
0.329962;0.372539;0.200158;0.206865;0.145421;0.515238;0.388058;0.151468;0.246872;0.223989;0;1;0;0;0;
0.268966;0.359819;0.148845;0.186179;0.133144;0.601105;0.352394;0.211058;0.222263;0.183959;0;0;0;1;0;
0.358259;0.386269;0.157323;0.197199;0.133951;0.490166;0.382083;0.194799;0.220521;0.144994;0;0;0;1;0;
0.398658;1.32668;0.229403;0.163049;0.122555;0.345712;0.362529;0.231483;0.251725;0.15286;0;0;0;1;0;
0.371493;1.28968;0.244759;0.168626;0.157602;0.270164;0.342245;0.252918;0.308709;0.193796;0;0;0;1;0;
0.375608;1.10601;0.232238;0.17459;0.198316;0.19187;0.363258;0.249302;0.375564;0.200311;0;0;0;1;0;
0.335399;0.940781;0.256573;0.185059;0.217372;0.189678;0.373737;0.224219;0.380921;0.188503;0;0;0;1;0;
0.334484;0.859662;0.322903;0.212624;0.222212;0.169945;0.339271;0.179617;0.35331;0.257055;0;0;0;1;0;
0.310088;0.749354;0.381783;0.206229;0.245524;0.119234;0.370433;0.221718;0.326012;0.28001;0;0;0;1;0;
0.313418;0.177225;0.364161;0.228496;0.245775;0.121586;1.33086;0.199235;0.312435;0.303874;0;1;0;0;0;
0.30066;0.705705;0.386247;0.199868;0.227711;0.144492;1.35854;0.168788;0.285197;0.2536;0;1;0;0;0;
0.28361;0.722542;0.321904;0.155869;0.235383;0.14943;0.336752;0.16963;0.29701;0.239462;0;1;0;0;0;
0.221728;0.755574;0.328021;0.143601;0.229586;0.215899;0.325105;0.188554;0.283555;0.237398;0;1;0;0;0;
0.234642;0.771924;0.255179;0.137009;0.175885;0.232955;0.309119;0.124346;0.247797;0.204335;0;0;0;1;0;
0.249081;0.714013;0.270423;0.183866;0.191816;0.228653;0.296416;0.140172;0.222303;0.254826;0;0;0;1;0;
0.205736;0.717028;0.262852;0.194062;0.205832;0.208402;1.05305;0.174629;0.240524;0.292277;0;0;0;1;0;
0.227224;0.690125;0.212083;0.255439;0.148116;0.157609;0.931275;0.175459;0.221909;0.24522;0;0;0;1;0;
0.242049;0.195655;0.196104;0.255414;0.157858;0.150265;0.805626;0.165392;0.237257;0.21372;0;0;0;1;0;
0.285821;0.66411;0.211508;0.272737;0.140674;0.145465;0.765688;0.198322;0.216777;0.235483;0;0;0;1;0;
1.06655;0.665843;0.21862;0.227325;0.17;0.16441;0.748731;0.200871;0.246218;0.196861;0;1;0;0;0;
0.291214;0.671492;0.167948;0.213733;0.196535;0.232348;0.731258;0.241457;0.186343;0.173969;0;1;0;0;0;
0.247281;0.197655;0.151771;0.204794;0.201124;0.237275;0.742962;0.234927;0.164454;0.150447;0;1;0;0;0;
0.216517;0.473151;0.153556;0.174747;0.155157;0.251468;0.692863;0.207463;0.169203;0.136335;0;1;0;0;0;
0.130218;0.638727;0.104398;0.139158;0.163023;0.295554;0.690018;0.239521;0.102141;0.0926777;0;0;0;1;0;
0.210424;0.315663;0.0979638;0.0899468;0.198341;0.277392;0.677382;0.241945;0.127626;0.103748;0;0;0;1;0;
0.838469;0.190135;0.0920058;0.0851742;0.190465;0.338745;0.672873;0.219252;0.160142;0.0940068;0;0;0;1;0;
0.77869;0.712176;0.124227;0.105731;0.220892;0.318833;0.661518;0.173985;0.178612;0.107957;0;0;0;1;0;
0.731199;0.754742;0.159468;0.101506;0.220763;0.345361;0.645838;0.180675;0.172211;0.0875643;0;0;0;1;0;
0.672347;0.654755;0.143595;0.131083;0.211056;0.317546;0.658912;0.118372;0.807562;0.130446;0;0;0;1;0;
0.615101;0.565333;0.184797;0.114081;0.267532;0.241672;0.399927;0.111737;0.754921;0.122746;0;0;0;1;0;
0.59661;0.460232;0.861836;0.132352;0.24462;0.213084;0.219816;0.152158;0.678798;0.144525;0;0;0;1;0;
0.620111;0.454627;0.803189;0.0995696;0.204806;0.210112;0.163322;0.11747;0.633551;0.147743;0;0;0;1;0;
0.575438;0.407833;0.714446;0.154131;0.164666;0.144972;0.712505;0.13723;0.616999;0.191046;0;0;0;1;0;
0.482259;0.356048;0.665654;0.167156;0.201319;0.124573;0.635912;0.119484;0.624186;0.833036;0;0;0;1;0;
0.278895;0.377319;0.632945;0.18822;0.160319;0.153519;0.555105;0.165699;0.611051;0.72839;0;1;0;0;0;
0.265179;0.392948;0.640963;0.193826;0.154021;0.147495;0.555825;0.148959;0.58848;0.737987;0;1;0;0;0;
0.319409;0.399523;0.599502;0.926804;0.137;0.182979;0.579869;0.147572;0.56952;0.668884;0;1;0;0;0;
0.389234;0.382554;0.540018;0.873558;0.125148;0.215039;0.112478;0.126919;0.542806;0.663645;0;1;0;0;0;
0.400196;0.407393;0.518529;0.81295;0.145422;0.263693;0.0871881;0.0907506;0.46445;0.633116;0;1;0;0;0;
0.427932;0.404724;0.4783;0.783991;0.092174;0.313637;0.130655;0.0863962;0.463217;0.605211;0;1;0;0;0;
0.480194;0.399668;0.439535;0.773856;0.0827243;0.33919;0.103876;0.112115;0.409498;0.570457;0;1;0;0;0;
0.42073;0.0589131;0.413389;0.68275;0.110493;0.336659;0.160876;0.958778;0.428783;0.528994;0;0;0;1;0;
0.350864;0.389939;0.426751;0.640045;0.0783866;0.31663;0.132766;0.97589;0.397229;0.451023;0;0;0;1;0;
0.249526;0.421409;0.389163;0.548534;0.0883554;0.339158;0.0861695;0.988579;0.411151;0.430317;0;0;0;1;0;
0.192204;0.411072;0.420427;0.508525;0.0806501;0.300945;0.0790583;0.929154;0.405239;0.441075;0;1;0;0;0;
0.1451;0.408066;0.392806;0.466355;0.118398;0.361883;0.108715;0.892318;0.401805;0.429785;0;1;0;0;0;
0.193331;0.0467529;0.357716;0.422123;0.90846;0.397834;0.0657318;0.803992;0.362366;0.349087;0;1;0;0;0;
0.185366;0.0769259;0.322291;0.391171;0.95049;0.389664;0.0942562;0.774669;0.319686;0.315568;0;1;0;0;0;
0.185166;0.0734412;0.316343;0.381287;0.953018;0.44355;0.0870177;0.688731;0.306651;0.297133;0;1;0;0;0;
0.17126;0.0965755;0.268447;0.318076;0.923156;0.474444;0.0754241;0.644048;0.274686;0.308531;0;1;0;0;0;
0.169062;0.102049;0.262785;0.295772;0.959843;0.483;0.108407;0.611779;0.232857;0.231378;0;1;0;0;0;
0.144234;0.0828771;0.224926;0.233641;0.959854;0.502805;0.0668149;0.515582;0.229633;0.200747;0;1;0;0;0;
0.154018;0.07643;0.171924;0.210689;0.954436;0.57012;0.112819;0.480614;0.200061;0.200371;0;0;0;0;1;
0.223576;0.0577897;0.168745;0.247601;0.957045;0.530363;0.091528;0.635555;0.19625;0.225445;0;0;0;0;1;
0.207436;0.0515076;0.198423;0.286986;0.947426;0.554878;0.104779;0.848595;0.153118;0.21975;0;0;0;0;1;
0.208281;0.09862;0.178875;0.326221;0.507149;0.562366;0.13888;0.964436;0.149298;0.230494;0;0;0;0;1;
0.172902;0.0646498;0.188299;0.425213;0.381593;0.597605;0.197871;0.901365;0.197569;0.258582;0;0;0;0;1;
0.166103;0.122822;0.215272;0.492081;0.283849;0.668601;0.238046;0.893158;0.186748;0.305846;0;0;0;0;1;
0.190638;0.117841;0.248159;0.588863;0.274558;0.697468;0.224445;0.899763;0.166548;0.343351;0;0;0;0;1;
0.174157;0.0961454;0.259463;0.699638;0.23198;0.719903;0.233098;0.910656;0.221253;0.349709;0;0;0;0;1;
0.180689;0.115142;0.260004;0.823278;0.213278;0.651422;0.224404;0.93076;0.234042;0.410903;0;0;0;0;1;
0.17832;0.173781;0.310267;0.902531;0.168417;0.131877;0.196542;0.922219;0.249072;0.46367;0;0;0;0;1;
0.219253;0.186633;0.316643;0.876359;0.167451;0.0693537;0.208263;0.91551;0.21074;0.539299;0;1;0;0;0;
0.148726;0.195396;0.308884;0.869875;0.175098;0.125614;0.205422;0.931023;0.234921;0.489819;0;1;0;0;0;
0.128938;0.248348;0.276437;0.863188;0.232528;0.129016;0.198014;0.894362;0.215376;0.425754;0;1;0;0;0;
0.141255;0.26886;0.218967;0.798301;0.24151;0.18468;0.156704;0.86456;0.160221;0.42537;0;1;0;0;0;
0.127426;0.257393;0.217158;0.804626;0.273592;0.225905;0.114966;0.827006;0.128874;0.364101;0;0;0;0;1;
0.105679;0.206563;0.224438;0.790651;0.270631;0.18485;0.146209;0.901413;0.15155;0.480015;0;0;0;0;1;
0.111503;0.190587;0.287025;0.807458;0.196957;0.1805;0.115183;0.485451;0.185303;0.675005;0;0;0;0;1;
0.158574;0.191799;0.39306;0.814525;0.200025;0.161525;0.113288;0.363725;0.240433;0.814757;0;0;0;0;1;
0.189715;0.147786;0.55489;0.778518;0.218637;0.130801;0.154754;0.320404;0.252958;0.811255;0;0;0;0;1;
0.183457;0.153466;0.823622;0.802728;0.208758;0.15537;0.139607;0.263486;0.352809;0.783292;0;0;0;0;1;
0.235022;0.143663;0.787679;0.497685;0.46262;0.132536;0.15186;0.237554;0.473558;0.800965;0;0;0;0;1;
0.309166;0.160005;0.770905;0.384015;0.659253;0.12707;0.191331;0.228689;0.688306;0.79117;0;0;0;0;1;
0.364343;0.133304;0.765953;0.290829;0.702993;0.111335;0.17342;0.177016;0.799849;0.825584;0;1;0;0;0;
0.404518;0.156268;0.743852;0.298211;0.667357;0.160765;0.201468;0.192255;0.777403;0.816279;0;1;0;0;0;
0.400311;0.179103;0.745767;0.334855;0.697256;0.181186;0.188806;0.192324;0.732878;0.764824;0;1;0;0;0;
0.382724;0.13334;0.702138;0.301418;0.672469;0.183119;0.23024;0.191104;0.689334;0.763661;0;1;0;0;0;
0.386009;0.135273;0.678137;0.316796;0.179612;0.218406;0.219405;0.196155;0.665935;0.738651;0;1;0;0;0;
0.400449;0.17156;0.658192;0.288817;0.178505;0.265988;0.180416;0.15334;0.671747;0.70064;0;1;0;0;0;
0.425576;0.171389;0.582983;0.264596;0.194755;0.296212;0.228778;0.161164;0.594229;0.644168;0;1;0;0;0;
0.437248;0.199597;0.585274;0.275295;0.155071;0.336356;0.189801;0.205447;0.562155;0.618654;0;1;0;0;0;
0.436561;0.1989;0.549112;0.294146;0.141774;0.332233;0.236734;0.149898;0.543121;0.562957;0;1;0;0;0;
0.451522;0.196681;0.548571;0.69606;0.1855;0.377369;0.236018;0.18894;0.543233;0.575897;0;1;0;0;0;
0.437954;0.17173;0.496809;0.651878;0.165933;0.43209;0.212716;0.168282;0.529024;0.528893;0;1;0;0;0;
0.450228;0.19977;0.483879;0.588842;0.155106;0.458265;0.233257;0.191808;0.494362;0.475374;0;1;0;0;0;
0.426201;0.188105;0.461252;0.550469;0.174156;0.44497;0.201649;0.191584;0.444061;0.439646;0;1;0;0;0;
0.423459;0.172001;0.433545;0.514115;0.178173;0.520994;0.201516;0.188286;0.390658;0.411939;0;1;0;0;0;
0.463497;0.207618;0.350133;0.481396;0.129549;0.543355;0.211846;0.156293;0.400576;0.422015;0;1;0;0;0;
0.385645;0.181715;0.320376;0.430308;0.165255;0.545757;0.240404;0.133167;0.330831;0.367296;0;1;0;0;0;
0.366864;0.164498;0.300314;0.438421;0.172632;0.599505;0.212989;0.707946;0.313874;0.341883;0;1;0;0;0;
0.333257;0.163739;0.317769;0.376184;0.129024;0.588334;0.236706;0.681249;0.282121;0.312405;0;1;0;0;0;
0.329869;0.192283;0.255347;0.328479;0.130556;0.642125;0.247078;0.691305;0.284913;0.309016;0;1;0;0;0;
0.297431;0.198315;0.215529;0.297197;0.146655;0.687856;0.23752;0.676144;0.213169;0.247432;0;1;0;0;0;
0.215234;0.203774;0.220775;0.30372;0.157477;0.707048;0.24591;0.654981;0.201281;0.237879;0;1;0;0;0;
0.206713;0.181327;0.179806;0.218077;0.613524;0.704933;0.245178;0.539333;0.173438;0.195243;0;0;0;0;1;
0.207686;0.222236;0.197845;0.284684;0.155821;0.732234;0.259845;0.631148;0.151069;0.176856;0;0;0;0;1;
0.171212;0.227906;0.180033;0.332483;0.120976;0.746569;0.282913;0.60807;0.197934;0.224551;0;0;0;0;1;
0.164418;0.247321;0.184962;0.369879;0.146682;0.62107;0.242318;0.635478;0.16419;0.276419;0;0;0;0;1;
0.195569;0.251086;0.241687;0.496034;0.154454;0.453606;0.217201;0.627183;0.153072;0.284389;0;0;0;0;1;
0.184566;0.277119;0.230258;0.613407;0.198792;0.337801;0.220422;0.591954;0.208684;0.321352;0;0;0;0;1;
0.204961;0.296776;0.276436;0.61564;0.221323;0.313736;0.223386;0.646288;0.223222;0.420118;0;0;0;0;1;
0.200555;0.300295;0.308402;0.586081;0.214135;0.277144;0.211879;0.12702;0.250382;0.52073;0;0;0;0;1;
0.214744;0.301083;0.370136;0.585569;0.297277;0.200955;0.224101;0.133753;0.247893;0.620104;0;1;0;0;0;
0.166404;0.293063;0.332684;0.573413;0.238795;0.248058;0.185912;0.0796096;0.248179;0.639899;0;1;0;0;0;
0.158584;0.252262;0.331029;0.564354;0.219778;0.281249;0.144836;0.636377;0.202701;0.603883;0;1;0;0;0;
0.146977;0.229184;0.276773;0.521659;0.165266;0.285181;0.119211;0.583558;0.168803;0.504862;0;1;0;0;0;
0.148003;0.208396;0.237466;0.466266;0.109736;0.364305;0.134704;0.540426;0.158102;0.485731;0;0;0;0;1;
0.114381;0.180201;0.307815;0.465964;0.164368;0.289898;0.10155;0.596273;0.218166;0.484986;0;0;0;0;1;
0.130591;0.194818;0.379142;0.49579;0.215516;0.255537;0.111511;0.611593;0.216837;0.513106;0;0;0;0;1;
0.17667;0.156987;0.527332;0.521164;0.28358;0.243192;0.121477;0.670648;0.267363;0.51861;0;0;0;0;1;
0.216851;0.169962;0.497639;0.495311;0.41312;0.224139;0.175219;0.0741392;0.377925;0.507783;0;1;0;0;0;
0.199058;0.126158;0.478826;0.480312;0.308422;0.30557;0.162164;0.743609;0.333285;0.471273;0;1;0;0;0;
0.204465;0.122858;0.455665;0.450646;0.169607;0.289201;0.139329;0.69838;0.310395;0.406021;0;1;0;0;0;
0.16515;0.110642;0.402881;0.415146;0.046523;0.330315;0.14563;0.685198;0.306;0.410713;0;1;0;0;0;
